lat_deg,lon_deg,route_name,color
57.22842500,10.78516500,uten navn,Rod
57.22850000,10.78553833,uten navn,Rod
57.22865167,10.78636833,uten navn,Rod
57.22880000,10.78717000,uten navn,Rod
57.22912500,10.78898167,uten navn,Rod
57.22919000,10.78934833,uten navn,Rod
57.22926667,10.78973333,uten navn,Rod
57.22938333,10.79037833,uten navn,Rod
57.22962500,10.79171167,uten navn,Rod
57.22974667,10.79235333,uten navn,Rod
57.22987500,10.79302333,uten navn,Rod
57.23005833,10.79403000,uten navn,Rod
57.23032333,10.79546000,uten navn,Rod
57.23072333,10.79764667,uten navn,Rod
57.23170833,10.80301500,uten navn,Rod
57.23189500,10.80399500,uten navn,Rod
57.23201000,10.80461667,uten navn,Rod
57.23211000,10.80518667,uten navn,Rod
57.23227000,10.80600167,uten navn,Rod
57.23237333,10.80659833,uten navn,Rod
57.23252333,10.80743833,uten navn,Rod
57.23261833,10.80795667,uten navn,Rod
57.23283667,10.80913167,uten navn,Rod
57.23301333,10.81014833,uten navn,Rod
57.23322667,10.81128833,uten navn,Rod
57.23336500,10.81208833,uten navn,Rod
57.23369833,10.81385333,uten navn,Rod
57.23387000,10.81486667,uten navn,Rod
57.23400000,10.81558833,uten navn,Rod
57.23418333,10.81669000,uten navn,Rod
57.23445000,10.81807167,uten navn,Rod
57.23463000,10.81903667,uten navn,Rod
57.23476333,10.81974667,uten navn,Rod
57.23484000,10.82017667,uten navn,Rod
57.23497167,10.82100000,uten navn,Rod
57.23511500,10.82171500,uten navn,Rod
57.23523000,10.82233833,uten navn,Rod
57.23541833,10.82333167,uten navn,Rod
57.23572333,10.82503500,uten navn,Rod
57.23600500,10.82658167,uten navn,Rod
57.23632500,10.82831000,uten navn,Rod
57.23654167,10.82951500,uten navn,Rod
57.23688667,10.83147500,uten navn,Rod
57.23717167,10.83312667,uten navn,Rod
57.23733833,10.83394333,uten navn,Rod
57.23745667,10.83464833,uten navn,Rod
57.23758000,10.83526000,uten navn,Rod
57.23771833,10.83605500,uten navn,Rod
57.23791833,10.83722000,uten navn,Rod
57.23798833,10.83761333,uten navn,Rod
57.23805833,10.83794833,uten navn,Rod
57.23821500,10.83874167,uten navn,Rod
57.23865500,10.84099333,uten navn,Rod
57.23881000,10.84174500,uten navn,Rod
57.23915333,10.84321500,uten navn,Rod
57.23935833,10.84409833,uten navn,Rod
57.23957000,10.84494000,uten navn,Rod
57.23986167,10.84605833,uten navn,Rod
57.24014000,10.84724833,uten navn,Rod
57.24019000,10.84745000,uten navn,Rod
57.24041333,10.84835833,uten navn,Rod
57.24061000,10.84915167,uten navn,Rod
57.24075000,10.84972667,uten navn,Rod
57.24104667,10.85094000,uten navn,Rod
57.24165333,10.85351167,uten navn,Rod
57.24193500,10.85473000,uten navn,Rod
57.24211167,10.85550000,uten navn,Rod
57.24231333,10.85632833,uten navn,Rod
57.24246667,10.85701000,uten navn,Rod
57.24264667,10.85777667,uten navn,Rod
57.24278000,10.85837333,uten navn,Rod
57.24291500,10.85899667,uten navn,Rod
57.24293500,10.85910167,uten navn,Rod
57.24305833,10.85980833,uten navn,Rod
57.24310333,10.86051333,uten navn,Rod
57.24315167,10.86122000,uten navn,Rod
57.24317500,10.86207667,uten navn,Rod
57.24316333,10.86284500,uten navn,Rod
57.24312667,10.86340333,uten navn,Rod
57.24306000,10.86411833,uten navn,Rod
57.24299667,10.86469333,uten navn,Rod
57.24267333,10.86671833,uten navn,Rod
57.24252500,10.86836667,uten navn,Rod
57.24246000,10.87028833,uten navn,Rod
57.24253333,10.87140167,uten navn,Rod
57.24261333,10.87196000,uten navn,Rod
57.24282333,10.87287500,uten navn,Rod
57.24303000,10.87350833,uten navn,Rod
57.24321333,10.87392500,uten navn,Rod
57.24349333,10.87434000,uten navn,Rod
57.24378833,10.87472000,uten navn,Rod
57.24455500,10.87587500,uten navn,Rod
57.24626500,10.87752500,uten navn,Rod
57.24661333,10.87811333,uten navn,Rod
57.24739167,10.88048667,uten navn,Rod
57.24739500,10.88050167,uten navn,Rod
57.24740667,10.88053333,uten navn,Rod
57.24742000,10.88057500,uten navn,Rod
57.24743667,10.88062833,uten navn,Rod
57.24745000,10.88067000,uten navn,Rod
57.24746333,10.88071333,uten navn,Rod
57.24747167,10.88073500,uten navn,Rod
57.24748000,10.88076333,uten navn,Rod
57.24749333,10.88080500,uten navn,Rod
57.24750667,10.88084667,uten navn,Rod
57.24752333,10.88090000,uten navn,Rod
57.24753667,10.88094167,uten navn,Rod
57.24755000,10.88098333,uten navn,Rod
57.24756667,10.88103667,uten navn,Rod
57.24758167,10.88107833,uten navn,Rod
57.24759500,10.88112167,uten navn,Rod
57.24761167,10.88117333,uten navn,Rod
57.24762500,10.88121500,uten navn,Rod
57.24762500,10.88121500,uten navn,Rod
57.24763833,10.88125833,uten navn,Rod
57.24764667,10.88128500,uten navn,Rod
57.24765500,10.88131000,uten navn,Rod
57.24766833,10.88135167,uten navn,Rod
57.24768333,10.88139500,uten navn,Rod
57.24770000,10.88144833,uten navn,Rod
57.24771333,10.88149000,uten navn,Rod
57.24772667,10.88153333,uten navn,Rod
57.24774500,10.88158500,uten navn,Rod
57.24775833,10.88162833,uten navn,Rod
57.24777167,10.88167000,uten navn,Rod
57.24779000,10.88172167,uten navn,Rod
57.24780000,10.88175333,uten navn,Rod
57.24780333,10.88176500,uten navn,Rod
57.24781833,10.88180667,uten navn,Rod
57.24783500,10.88186000,uten navn,Rod
57.24785000,10.88190167,uten navn,Rod
57.24786333,10.88194500,uten navn,Rod
57.24788000,10.88199667,uten navn,Rod
57.24789500,10.88204000,uten navn,Rod
57.24790833,10.88208167,uten navn,Rod
57.24792500,10.88213500,uten navn,Rod
57.24793833,10.88217667,uten navn,Rod
57.24795333,10.88222000,uten navn,Rod
57.24797000,10.88227333,uten navn,Rod
57.24798167,10.88231000,uten navn,Rod
57.24798333,10.88231500,uten navn,Rod
57.24799833,10.88235833,uten navn,Rod
57.24801500,10.88241000,uten navn,Rod
57.24802833,10.88245333,uten navn,Rod
57.24804167,10.88249667,uten navn,Rod
57.24806000,10.88254833,uten navn,Rod
57.24807333,10.88259167,uten navn,Rod
57.24808667,10.88263333,uten navn,Rod
57.24810333,10.88268667,uten navn,Rod
57.24811833,10.88272833,uten navn,Rod
57.24813167,10.88277167,uten navn,Rod
57.24814833,10.88282333,uten navn,Rod
57.24816333,10.88286667,uten navn,Rod
57.24817667,10.88291000,uten navn,Rod
57.24818000,10.88292333,uten navn,Rod
57.24819333,10.88296167,uten navn,Rod
57.24820667,10.88300500,uten navn,Rod
57.24822167,10.88304667,uten navn,Rod
57.24823833,10.88310000,uten navn,Rod
57.24825167,10.88314167,uten navn,Rod
57.24826500,10.88318500,uten navn,Rod
57.24828167,10.88323833,uten navn,Rod
57.24829667,10.88328000,uten navn,Rod
57.24831000,10.88332333,uten navn,Rod
57.24832667,10.88337500,uten navn,Rod
57.24834167,10.88341833,uten navn,Rod
57.24835500,10.88346167,uten navn,Rod
57.24836667,10.88349667,uten navn,Rod
57.24837167,10.88351333,uten navn,Rod
57.24838500,10.88355667,uten navn,Rod
57.24840000,10.88359833,uten navn,Rod
57.24841667,10.88365167,uten navn,Rod
57.24843000,10.88369333,uten navn,Rod
57.24844333,10.88373667,uten navn,Rod
57.24846167,10.88378833,uten navn,Rod
57.24847500,10.88383167,uten navn,Rod
57.24848833,10.88387500,uten navn,Rod
57.24850667,10.88392667,uten navn,Rod
57.24852000,10.88397000,uten navn,Rod
57.24853333,10.88401167,uten navn,Rod
57.24855000,10.88406500,uten navn,Rod
57.24855500,10.88408000,uten navn,Rod
57.24856500,10.88410667,uten navn,Rod
57.24857833,10.88415000,uten navn,Rod
57.24859500,10.88420333,uten navn,Rod
57.24861000,10.88424500,uten navn,Rod
57.24862333,10.88428833,uten navn,Rod
57.24864000,10.88434000,uten navn,Rod
57.24865333,10.88438333,uten navn,Rod
57.24866833,10.88442667,uten navn,Rod
57.24868500,10.88447833,uten navn,Rod
57.24869667,10.88451500,uten navn,Rod
57.24869833,10.88452167,uten navn,Rod
57.24871167,10.88456333,uten navn,Rod
57.24872833,10.88461667,uten navn,Rod
57.24874333,10.88466000,uten navn,Rod
57.24875500,10.88469833,uten navn,Rod
57.24875667,10.88470167,uten navn,Rod
57.24877333,10.88475500,uten navn,Rod
57.24878667,10.88479833,uten navn,Rod
57.24880167,10.88484000,uten navn,Rod
57.24881833,10.88489333,uten navn,Rod
57.24883167,10.88493500,uten navn,Rod
57.24884500,10.88497833,uten navn,Rod
57.24886167,10.88503167,uten navn,Rod
57.24887667,10.88507333,uten navn,Rod
57.24889000,10.88511667,uten navn,Rod
57.24890667,10.88516833,uten navn,Rod
57.24892167,10.88521167,uten navn,Rod
57.24893333,10.88524833,uten navn,Rod
57.24893500,10.88525500,uten navn,Rod
57.24895167,10.88530667,uten navn,Rod
57.24896500,10.88535000,uten navn,Rod
57.24898000,10.88539167,uten navn,Rod
57.24899667,10.88544500,uten navn,Rod
57.24901000,10.88548667,uten navn,Rod
57.24902333,10.88553000,uten navn,Rod
57.24904167,10.88558333,uten navn,Rod
57.24905500,10.88562500,uten navn,Rod
57.24906833,10.88566833,uten navn,Rod
57.24908500,10.88572000,uten navn,Rod
57.24910000,10.88576333,uten navn,Rod
57.24911333,10.88580500,uten navn,Rod
57.24912000,10.88582500,uten navn,Rod
57.24913000,10.88585833,uten navn,Rod
57.24914333,10.88590000,uten navn,Rod
57.24915833,10.88594333,uten navn,Rod
57.24917500,10.88599667,uten navn,Rod
57.24918833,10.88603833,uten navn,Rod
57.24920333,10.88608167,uten navn,Rod
57.24922000,10.88613500,uten navn,Rod
57.24923333,10.88617667,uten navn,Rod
57.24924667,10.88622000,uten navn,Rod
57.24926333,10.88627167,uten navn,Rod
57.24927833,10.88631500,uten navn,Rod
57.24929167,10.88635667,uten navn,Rod
57.24930833,10.88641000,uten navn,Rod
57.24931167,10.88641833,uten navn,Rod
57.24932167,10.88645167,uten navn,Rod
57.24918000,10.87842667,uten navn,Rod
57.24926833,10.87895333,uten navn,Rod
57.24934333,10.87942500,uten navn,Rod
57.24940333,10.87978333,uten navn,Rod
57.24947000,10.88020833,uten navn,Rod
57.24953333,10.88059167,uten navn,Rod
57.24961000,10.88106833,uten navn,Rod
57.24968500,10.88150833,uten navn,Rod
57.24975500,10.88196833,uten navn,Rod
